"author","birth","death","wikipageid","books","bio"
"Grant McCracken","1951",,15411920,"Chief Culture Officer","Grant David McCracken (born 1951) is a Canadian anthropologist and author, known for his books about culture and commerce. He was the founder and director of the Institute for Contemporary Culture at the Royal Ontario Museum and is a member of Convergence Culture Consortium at MIT. He holds a Ph.D. in anthropology from the University of Chicago is a senior lecturer at Harvard Business School and is a research affiliate at MIT. He has been a consultant for many corporations, including the Coca-Cola Company, IBM, IKEA, Chrysler, Kraft, and Kimberly Clark. He lives in Rowayton, Connecticut."
"Nevada Barr",1952-03-01,,1171945,"Naked Came the Phoenix","Nevada Barr (born March 1, 1952) is an American author best known for her Anna Pigeon series of mystery novels set in national parks in the United States."
"Jean d'Esme",1894-09-27,1966-02-24,37617804,"The Red Gods","Jean d'Esme (27 September 1894 – 24 February 1966) was a French writer and journalist."
"Joyce Carol Oates",1938-06-16,,320172,"The Falls (Oates novel)|You Must Remember This|Freaky Green Eyes|Beasts (novella)|A Garden of Earthly Delights|Big Mouth & Ugly Girl|Black Girl / White Girl|Blonde (film)|Blonde (novel)|Middle Age: A Romance|Sexy (novel)|Little Bird of Heaven|The Gravedigger's Daughter|Wonderland (novel)|Zombie (novel)|Foxfire: Confessions of a Girl Gang|My Sister, My Love (novel)|American Appetites|Black Water (novella)|Them (novel)|We Were the Mulvaneys|Stalking (Joyce Carol Oates)|The Temple (Oates short story)|I'll Take You There (novel)|First Love: A Gothic Tale|Bellefleur|After the Wreck, I Picked Myself Up, Spread My Wings, and Flew Away|The Museum of Dr. Moses|The Corn Maiden and Other Nightmares|By the North Gate|Son of the Morning (novel)","Joyce Carol Oates (born June 16, 1938) is an American author. Oates published her first book in 1963 and has since published over 40 novels, as well as a number of plays and novellas, and many volumes of short stories, poetry, and nonfiction. She has won many awards for her writing, including the National Book Award, for her novel them (1969), two O. Henry Awards, and the National Humanities Medal. Her novels Black Water (1992), What I Lived For (1994), Blonde (2000), and short story collections The Wheel of Love and Other Stories (1970) and Lovely, Dark, Deep: Stories (2014) were each nominated for the Pulitzer Prize. Oates has taught at Princeton University since 1978 and is currently the Roger S. Berlind '52 Professor in the Humanities with the Program in Creative Writing."
"Walter Benjamin",1892-07-15,1940-09-26,227111,"The Origin of German Tragic Drama","Walter Bendix Schönflies Benjamin ([ˈvaltɐ ˈbɛnjamiːn]; 15 July 1892 – 26 September 1940) was a German Jewish philosopher and cultural critic. An eclectic thinker, combining elements of German idealism, Romanticism, Western Marxism, and Jewish mysticism, Benjamin made enduring and influential contributions to aesthetic theory, literary criticism, and historical materialism. He was associated with the Frankfurt School, and also maintained formative friendships with thinkers such as playwright Bertolt Brecht and Kabbalah scholar Gershom Scholem. He was also related by law to German political theorist Hannah Arendt through her first marriage to his cousin, Günther Anders. Among Benjamin's best known works are the essays ""The Task of the Translator"" (1923), ""The Work of Art in the Age of Mechanical Reproduction"" (1936), and ""Theses on the Philosophy of History"" (1940). His major work as a literary critic included essays on Baudelaire, Goethe, Kafka, Kraus, Leskov, Proust, Walser, and translation theory. He also made major translations into German of the Tableaux Parisiens section of Baudelaire's Les Fleurs du mal and parts of Proust's À la recherche du temps perdu. In 1940, at the age of 48, Benjamin committed suicide in Portbou at the French–Spanish border while attempting to escape from invading Nazi forces. Though popular acclaim eluded him during his life, the decades following his death won his work posthumous renown."
"Ha Jin",1956-02-21,,180268,"In the Pond|War Trash|Waiting (novel)","Jīn Xuěfēi (simplified Chinese: 金雪飞; traditional Chinese: 金雪飛; born February 21, 1956) is a contemporary Chinese-American poet and novelist using the pen name Ha Jin (哈金). Ha comes from his favorite city, Harbin. His poetry is associated with the Misty Poetry movement."
"Philippe Panneton",1895-04-30,1960-12-28,1755662,"Thirty Acres","Philippe Panneton (pseudonym Ringuet, which was his mother's maiden name) (April 30, 1895 – December 28, 1960) was a Canadian physician, academic, diplomat and writer. Born in Trois-Rivières, Quebec, he received a degree in medicine from Université Laval in 1920. In 1935 he became a professor at the Université de Montréal. In 1944 he was a founding member of L’Académie canadienne-française (now known as the Académie des lettres du Québec) and served as its president from 1947 until 1953. In 1956, he was named ambassador to Portugal, and died in Lisbon in 1960. In 1959 he was awarded the Lorne Pierce Medal."
"Pierre Vallières",1938-02-22,1998-12-23,528005,"White Niggers of America","Pierre Vallières (22 February 1938 – 23 December 1998), was a Canadian journalist and writer from the province of Québec. He was considered an intellectual leader of the Front de libération du Québec (FLQ). Vallières was born in the east end of Montreal, Quebec, but grew up in Ville Jacques-Cartier (now part of Longueuil), on the south-shore of Montreal, an area considered one of the most disadvantaged of the metropolitan region. He started working in a bookstore, then became a journalist, first for Le Devoir, then for Cité Libre, which he became the director. He then went to cover international news for La Presse. He had been working for La Presse for two years when he was fired for taking part in ""subversive activities"". He became a left-wing political activist at a young age and conducted a hunger strike at the United Nations headquarters in New York City to protest what he considered to be Quebec's plight. While in New York, Vallières was held in the Manhattan House of Detention for Men before being extradited to Canada. There, he was arrested after a heist in a Montreal cinema on August 27, 1966. Along with Charles Gagnon and five other people, he was then convicted of the manslaughter of Thérèse Morin, a 64 years old secretary who died in the explosion of a bomb that was delivered at the H.B. La Grenade shoe manufacture in Montreal on May 5, 1966, and of Jean Corbo, a 16 year old FLQ member who died on July 14, 1966 in the explosion of the bomb he had put himself at the Dominion Textile manufacture in Montreal. For that, he was condemned to life in prison. Vallière's conviction was overruled by the court of appeal but, in a second trial held in 1969, he was convicted again and condemned to 30 months in prison this time. He got paroled on May 26, 1970 after 44 months behind bars. During his near four years' imprisonment in New York, he wrote a number of works, the most famous of which was Nègres blancs d'Amérique (1968), translated into English as White Niggers of America. This book compared the situation of French-Canadians in Quebec to that of African-Americans at the height of the latter's civil rights struggles. He also called for armed struggle. In 1970, during the October Crisis, the FLQ kidnapped and murdered the Quebec Vice-Premier, Pierre Laporte. The following year, Vallières renounced violence as a means to achieve Quebec independence and on 4 October 1972, under a plea bargain agreement, he received a one-year suspended sentence on three charges of counselling kidnapping for political purposes. He then resumed his career as a journalist, writer, and publisher. He died of heart failure."
"Jack Rosenthal",1931-09-08,2004-05-29,690010,"Spend, Spend, Spend (play)|Bar Mitzvah Boy (musical)|The Lovers (TV series)|The Dustbinmen|Day To Remember","Jack Morris Rosenthal CBE (8 September 1931 – 29 May 2004) was an English playwright, who wrote 129 early episodes of the ITV soap opera Coronation Street and over 150 screenplays, including original TV plays, feature films, and adaptations. He wrote the 1986 television film London's Burning for London Weekend Television, which proved so successful that it was adapted into the television series of the same name, which ran from 1988 until 2002."
"Edgar Rice Burroughs",1875-09-01,1950-03-19,9657,"The Land That Time Forgot (novel)|The Efficiency Expert (novel)|Jungle Girl (novel)|Land of Terror|The Outlaw of Torn|Tarzan and the Castaways|Tarzan the Untamed|The Mad King|I Am a Barbarian|Pellucidar (novel)|Tarzan of the Apes|Tarzan at the Earth's Core|The Wizard of Venus|The Girl from Hollywood|A Fighting Man of Mars|Tarzan Triumphant|The Man-Eater|The Monster Men|Tarzan and the Golden Lion|Tarzan the Magnificent (novel)|The Oakdale Affair|The Rider|At the Earth's Core (novel)|Tarzan and the Lost Empire|Beyond the Farthest Star (novel)|Tarzan, Lord of the Jungle (novel)|Tarzan and the City of Gold|Out of Time's Abyss|The People That Time Forgot (novel)|The Eternal Lover|Swords of Mars|Back to the Stone Age|Pirates of Venus|Jungle Tales of Tarzan|Tarzan and the Jewels of Opar|Tarzan the Terrible|The Beasts of Tarzan|The Son of Tarzan|The Return of Tarzan|Tarzan and the Ant Men|Tarzán|Carson of Venus|The Gods of Mars|The Warlord of Mars|Tarzan and the Forbidden City|Tarzan and the Madman|The Mucker|A Princess of Mars|Thuvia, Maid of Mars|Tarzan's Quest|Tarzan and the Foreign Legion|Tarzan and the Leopard Men|Tarzan and the Lion Man|Tarzan the Invincible|Tarzan: The Lost Adventure|Tarzan and the Tarzan Twins|The Chessmen of Mars|The Master Mind of Mars|The Cave Girl|The Moon Maid|Llana of Gathol|Tanar of Pellucidar|Timeline of science fiction|Escape on Venus|Lost on Venus|The Lad and the Lion|Synthetic Men of Mars|Beyond Thirty|Forgotten Tales of Love and Murder|John Carter of Mars (collection)|Savage Pellucidar|The Bandit of Hell's Bend|The Oakdale Affair and The Rider|Beyond Thirty and The Man-Eater|Tales of Three Planets","Edgar Rice Burroughs (September 1, 1875 – March 19, 1950) was an American writer best known for his creations of the jungle hero Tarzan and the heroic Mars adventurer John Carter, although he produced works in many genres."
"James Frey",1969-09-12,,2208166,"The Final Testament of the Holy Bible|A Million Little Pieces|My Friend Leonard|Bright Shiny Morning|Endgame: The Calling","James Christopher Frey (born September 12, 1969) is an American writer and the founder and CEO of Full Fathom Five, a transmedia production company responsible for the young adult series ""The Lorien Legacies"", the first book of which I Am Number Four (2010) was made into a feature film by DreamWorks Studios. His two first books A Million Little Pieces (2003) and My Friend Leonard (2005), were marketed as memoirs, but large parts of the stories were later found to be exaggerated or fabricated. His 2008 novel Bright Shiny Morning was also a bestseller."
"Chie Nakane",1926-11-30,,178245,"Japanese Society (1970 book)","Chie Nakane (中根 千枝 Nakane Chie, born November 30, 1926) is Professor Emerita of Social Anthropology at the University of Tokyo. Nakane’s work focuses on cross-cultural comparisons of social structures in Asia, notably Japan, India, and China. She is internationally known for her bestselling book, Japanese Society, which has been translated into 13 languages. In this book, Nakane characterizes Japan as “a vertical society” where human relations are based on “place” (shared space) instead of “attribute” (qualification). Nakane graduated from Tsuda College in 1947 and then completed her graduate work specializing in China and Tibet at the University of Tokyo in 1952. In 1953-1957, she did fieldwork in India and studied in the School of Economics at the University of London. In 1959-1960, she was Visiting Assistant Professor at the University of Chicago. In 1960-1961, she was Lecturer at the University of London. In 1970, Nakane became the first female professor at the University of Tokyo, where she served as Director of the Institute of Oriental Culture in 1980-1982. She was Professor at Osaka University and the National Museum of Ethnology and Visiting Professor at Cornell University in 1975-1980. In 1995, she became the first and only female member of the Japan Academy. She is also an honorary member of the Royal Anthropological Institute of Great Britain and Ireland."
"Han Suyin",1916-09-12,2012-11-02,1532065,"A Mortal Flower|My House Has Two Doors|The Crippled Tree|A Many-Splendoured Thing|And the Rain My Drink|Birdless Summer|The Mountain Is Young","Han Suyin (simplified Chinese: 韩素音; traditional Chinese: 韓素音; pinyin: Hán Sùyīn; 12 September 1916 or 1917 – 2 November 2012) was the pen name of Elizabeth Comber, born Rosalie Matilda Kuanghu Chou (Chinese: 周光瑚; pinyin: Zhōu Guānghú). She was a China-born Eurasian, a physician, and author of books in English and French on modern China, novels set in East and Southeast Asia, and autobiographical memoirs which covered the span of modern China. These writings gained her a reputation as an ardent and articulate supporter of the Chinese Communist revolution. She lived in Lausanne until her death."
"Jana Riess",1969-12-13,,25662170,"What Would Buffy Do?","Jana Kathryn Riess (born December 13, 1969) is an American writer and editor. Reiss' writings have focused on American religions, usually on organized movements such as The Church of Jesus Christ of Latter-day Saints (LDS Church) and The Church of Christ, Scientist."
"Molière",1622-01-15,1673-02-17,51465,"Tartuffe|The Miser|L'Amour médecin|The Imaginary Cuckold|The Misanthrope|Le Bourgeois gentilhomme|Les Fourberies de Scapin|The Imaginary Invalid|The School for Husbands","Jean-Baptiste Poquelin, known by his stage name Molière (/moʊlˈjɛər/; [mɔ.ljɛːʁ]; 15 January 1622 – 17 February 1673), was a French playwright and actor who is considered to be one of the greatest masters of comedy in Western literature. Among Molière's best known works are The Misanthrope, The School for Wives, Tartuffe, The Miser, The Imaginary Invalid, and The Bourgeois Gentleman. Born into a prosperous family and having studied at the Collège de Clermont (now Lycée Louis-le-Grand), Molière was well suited to begin a life in the theatre. Thirteen years as an itinerant actor helped him polish his comic abilities while he began writing, combining Commedia dell'arte elements with the more refined French comedy. Through the patronage of aristocrats including Philippe I, Duke of Orléans—the brother of Louis XIV—Molière procured a command performance before the King at the Louvre. Performing a classic play by Pierre Corneille and a farce of his own, The Doctor in Love, Molière was granted the use of salle du Petit-Bourbon near the Louvre, a spacious room appointed for theatrical performances. Later, Molière was granted the use of the theatre in the Palais-Royal. In both locations he found success among Parisians with plays such as The Affected Ladies, The School for Husbands and The School for Wives. This royal favour brought a royal pension to his troupe and the title Troupe du Roi (""The King's Troupe""). Molière continued as the official author of court entertainments. Though he received the adulation of the court and Parisians, Molière's satires attracted criticism from moralists and the Catholic Church. Tartuffe and its attack on perceived religious hypocrisy roundly received condemnations from the Church, while Don Juan was banned from performance. Molière's hard work in so many theatrical capacities took its toll on his health and, by 1667, he was forced to take a break from the stage. In 1673, during a production of his final play, The Imaginary Invalid, Molière, who suffered from pulmonary tuberculosis, was seized by a coughing fit and a haemorrhage while playing the hypochondriac Argan. He finished the performance but collapsed again and died a few hours later."
"Thomas Gifford",1937-05-16,2000-10-31,2986047,"The Assassini","Thomas Eugene Gifford (May 16, 1937 – October 31, 2000) was a best-selling American author of thriller novels. He was a graduate of Harvard University. He gained international fame with the crime novel The Glendower Legacy and later with the Vatican thriller The Assassini. The books posited George Washington as a British spy and the Roman Catholic Church as a criminal organization. The Glendower Legacy was made into a movie in 1981 under the name Dirty Tricks. Gifford also published under the names Dana Clarins and Thomas Maxwell. He died of cholangiocarcinoma in his home in Dubuque, Iowa, on Halloween 2000."
"Alice Hoffman",1952-03-16,,881890,"The Ice Queen|Green Angel|Here on Earth (novel)|Aquamarine (novel)|Practical Magic (novel)|At Risk (book)|The Story Sisters","Alice Hoffman (born March 16, 1952) is an American novelist and young-adult and children's writer, best known for her 1995 novel Practical Magic, which was adapted for a 1998 film of the same name. Many of her works fall into the genre of magic realism and contain elements of magic, irony, and non-standard romances and relationships."
"Jennifer Storm",1975-05-07,,27732139,"Leave the Light On (Memoir)","Jennifer Storm (born May 7, 1975) is an author who has written about alcohol and drug addiction and recovery. Storm began drinking at the age of 12 and became an alcoholic by the time she was 15. She has written two memoirs, Blackout Girl: Growing Up and Drying Out in America and Leave the Light On. Besides writing, Storm is also the head of the Victim/Witness Assistance Program in Harrisburg, Pennsylvania. Storm was appointed by then-Governor Tom Corbett to serve as the Victim Advocate of the Commonwealth of PA. She was unanonmously confirmed by the PA Senate and sworn in for a six-year term on December 20, 2013. Storm was an outspoken victim advocate on the Jerry Sandusky case, having been the advocate for many of his victims. Storm appeared on various national talk shows, radion programs, newspapers and magazine articles including The Today Show, World News Tonight with Diane Sawyer, People Magazine"
"Mildred Barya","1976",,17958305,"The price of memory after the tsunami","Mildred Kiconco Barya is a writer and poet from Uganda. She was awarded the 2008 Pan African Literary Forum Prize for Africana Fiction, but had earlier gained recognition for her poetry, particularly her first two collections, Men Love Chocolates But They Don't Say (2002) and The Price of Memory: After the Tsunami (2006). Barya has also worked as journalist and travel writer. From August 2007 to August 2009, she served as Writer-In-Residence at TrustAfrica, a Pan-African foundation based in Dakar, Senegal. She graduated from MFA program at Syracuse University, New York City, in 2012, She previously was a member of the Creative Writing Faculty at Alabama School of Fine Arts (ASFA). Currently, Barya is teaching and pursuing a PhD in Creative Writing at the University of Denver She has previously lived and worked in Germany, Botswana, Kenya and Uganda. Besides her career as a writer, Barya has also worked as a Human Resource Advisor for Ernst & Young in Uganda. Barya is a founding member and currently serves on the advisory board of African Writers Trust, ""a non-profit entity which seeks to coordinate and bring together African writers in the Diaspora and writers on the continent to promote sharing of skills and other resources, and to foster knowledge and learning between the two groups."""
"Anya Seton",1904-01-23,1990-11-08,98587,"My Theodosia|Katherine (Seton novel)|Dragonwyck (novel)|The Turquoise|Green Darkness|Avalon (novel)","Anya Seton (January 23, 1904 – November 8, 1990) was the pen name of Ann Seton Chase, an American author of historical romances, or as she preferred they be called, ""biographical novels""."
"Emma Orczy",1865-09-23,,95408,"Sir Percy Leads the Band|I Will Repay (novel)|Nicolette (novel)|The First Sir Percy|The Divine Folly|The Emperor's Candlesticks|The Way of the Scarlet Pimpernel|Sir Percy Hits Back|Skin o' My Tooth|The League of the Scarlet Pimpernel|Eldorado (novel)|Meadowsweet (novel)|A Son of the People|The Bronze Eagle|The Nest of the Sparrowhawk|A Bride of the Plains|The Honourable Jim|Beau Brocade|Lord Tony's Wife|The Elusive Pimpernel (novel)|The Laughing Cavalier (novel)|The Case of Miss Elliott|The Old Man in the Corner|Mam'zelle Guillotine|The Tangled Skein|Old Hungarian Fairy Tales|The Man in Grey (story collection)|Adventures of the Scarlet Pimpernel|Fire in Stubble|A True Woman|By the Gods Beloved|Lady Molly of Scotland Yard|Petticoat Government|A Child of the Revolution|The Scarlet Pimpernel|The Triumph of the Scarlet Pimpernel|A Sheaf of Bluebells|Pimpernel and Rosemary|Unravelled Knots","Baroness Emma Magdolna Rozália Mária Jozefa Borbála ""Emmuska"" Orczy de Orci (/ˈɔːrtsiː/; 23 September 1865 – 12 November 1947) was a Hungarian-born British novelist, playwright, and artist of noble origin. She is most known for her series of novels featuring the Scarlet Pimpernel. Some of her paintings were exhibited at the Royal Academy in London."
"Maddox (writer)",1978-01-01,,1030922,"The Alphabet of Manliness","Maddox is the pen name of George Ouzounian, an American humorist, satirist, Internet personality, and author. He gained fame on the Internet in the early 2000s for his opinion-oriented website, The Best Page in the Universe, which he still maintains. His first book, The Alphabet of Manliness (2006), became a New York Times bestseller. He is a graduate of Woods Cross High School in Woods Cross, Utah; he also attended the University of Utah, but does not hold a degree."
"John Mearsheimer",1947-12-14,,980934,"Why Leaders Lie|The Israel Lobby and U.S. Foreign Policy|The Tragedy of Great Power Politics","John J. Mearsheimer (/ˈmɜːrʃhaɪmər/; born December 14, 1947) is an American political scientist. He is the founder of offensive realism which describes the interaction between great powers as dominated by a rational desire to achieve hegemony in a world of insecurity and uncertainty regarding other states' intentions. Mearsheimer was a vocal opponent of the Iraq War in 2003 and was almost alone in opposing Ukraine's decision to give up its nuclear weapons in 1994 and correctly predicted that without a deterrent they would face Russian aggression. His most controversial views concern alleged influence by interest groups over US government actions in the Middle East which he wrote about in The Israel Lobby and U.S. Foreign Policy. In accordance with his theory Mearsheimer considers that China's growing power will likely bring it into conflict with the United States. His work is frequently taught to and read by twenty-first century students of political science. Admirers see him as discounting rhetoric to show how states behave. Critics charge him with having an outdated zero-sum view of the world."
"Edwin Torres (judge)",1931-01-07,,1043614,"Carlito's Way (novel)|After Hours (novel)","Edwin Torres (born January 7, 1931) is a Puerto Rican New York state supreme court judge and author."
"Jurij Hudolin",1973-05-29,,33860698,"Pastorek (novel)","Jurij Hudolin (born 29 May 1973) is a Slovene poet, writer, columnist and translator. He has published a number of poetry collections and novels and is known for the rich language he uses and a rebellious rejectionist stance towards the world. Hudolin was born in 1973 in Ljubljana. He grew up in Ljubljana and for a while near Pula in Istria before returning to Ljubljana to complete his secondary education and going on to study comparative literature and Serbo-Croatian at the University of Ljubljana. He published his first collection of poetry entitled Če je laž kralj (If Lies are King) in 1991 and has since published a further six poetry collections as well as three novels. His columns are regularly published in Mladina, Delo, Dnevnik, Večer and other journals and newspapers and he published a selection of them in a book in 2004 titled Pusti ti to (You Leave That Alone). His poetry has been published in many literary journals and anthologies both at home and abroad and his novels are well received amongst reades and critics alike. In 2014 his novel Ingrid Rosenfeld was shortlisted for the Kresnik Award."
"Theresa Tomlinson",1946-08-14,,4760311,"The Moon Riders|The Voyage of the Snake Lady","Theresa Tomlinson (or Thomlinson) (born 1946) is a children's author."
"Erico Verissimo",1905-12-17,1975-11-28,1061072,"Noite (novel)","Érico Lopes Veríssimo (December 17, 1905 – November 28, 1975) was an important Brazilian writer, born in the State of Rio Grande do Sul. His father, Sebastião Veríssimo da Fonseca, heir of a rich family in Cruz Alta, Rio Grande do Sul, met financial ruin during his son's youth. Veríssimo worked in a pharmacy before obtaining a job at Editora Globo, a book publisher, where he translated and released works of writers like Aldous Huxley. During the Second World War, he went to the United States. This period of his life was recorded in some of his books, including: Gato Preto em Campo de Neve (""Black Cat in a Snow Field""), A Volta do Gato Preto (""The Return of the Black Cat""), and História da Literatura Brasileira (""History of Brazilian Literature""), which contains some of his lectures at UCLA. His epic O Tempo e o Vento (""The Time and the Wind'"") became one of the great masterpieces of the Brazilian novel, alongside Os Sertões by Euclides da Cunha, and Grande Sertão: Veredas by Guimarães Rosa. Four of Veríssimo's works, Time and the Wind, Night, Mexico, and His Excellency, the Ambassador, were translated into the English language by Linton Lomas Barrett. He was the father of another famous writer of Rio Grande do Sul, Luis Fernando Veríssimo."
"Gottfried Keller",1819-07-19,1890-07-15,148352,"Green Henry","Gottfried Keller (19 July 1819 – 15 July 1890) was a Swiss poet and writer of German literature. Best known for his novel Green Henry (German: Der grüne Heinrich), he became one of the most popular narrators of literary realism in the late 19th century."
"John Osborne",1929-12-12,1994-12-24,167626,"Personal Enemy|Inadmissible Evidence|Luther (play)|Look Back in Anger|Epitaph for George Dillon|The Picture of Dorian Gray (1976 TV)|Déjàvu|The Blood of the Bambergs|The World of Paul Slickey|Under Plain Cover","John James Osborne (12 December 1929 – 24 December 1994) was an English playwright, screenwriter, actor, known for his excoriating prose and intense critical stance towards established social and political norms. The success of his 1956 play Look Back in Anger transformed English theatre. In a productive life of more than 40 years, Osborne explored many themes and genres, writing for stage, film and TV. His personal life was extravagant and iconoclastic. He was notorious for the ornate violence of his language, not only on behalf of the political causes he supported but also against his own family, including his wives and children. Osborne was one of the first writers to address Britain's purpose in the post-imperial age. He was the first to question the point of the monarchy on a prominent public stage. During his peak (1956–1966), he helped make contempt an acceptable and now even cliched onstage emotion, argued for the cleansing wisdom of bad behaviour and bad taste, and combined unsparing truthfulness with devastating wit.[citation needed]"
"Kathi Appelt",1954-07-06,,24864259,"Keeper (Appelt novel)|The Underneath (novel)","Kathi Appelt (born July 6, 1954) is an American children's writer and writing teacher. She won the annual PEN USA award for Children's Literature recognizing The Underneath (2008)."
"James Alan McPherson",1943-09-16,,16447,"Elbow Room (short story collection)","James Alan McPherson (born September 16, 1943) is a Pulitzer Prize-winning American short story writer and essayist. He has been a recipient of a Guggenheim Fellowship and a MacArthur Fellowship. McPherson is a member of the permanent faculty of the Iowa Writers' Workshop at the University of Iowa."
"Joe Clifford Faust","1957",,21757983,"Angel's Luck|A Death of Honor","Joe Clifford Faust (born 1957) is an American author best known for his seven science fiction novels primarily written during the 1980s and 1990s, including A Death of Honor, The Company Man, the Angel's Luck Trilogy (all published by Del Rey Books), and the satirical Pembroke Hall novels (published by Bantam Spectra). His novels are known for their tightly controlled plots and their sense of humor. Like many authors, he draws inspiration from previous and current occupations, including projectionist, record store clerk, radio announcer, sheriff's dispatcher, and advertising copywriter. He currently works as a freelance writer alongside other creative projects such as occasional forays into cartooning and songwriting. From 2001 to 2008, he served as a freelance producer for a local cable music program, Random Acts of Music."
"Catherynne M. Valente",1979-05-05,,4480518,"Palimpsest (novel)|Yume No Hon: The Book of Dreams|Fairyland (series)|The Grass-Cutting Sword|The Habitation of the Blessed","Catherynne M. Valente (born Bethany Thomas, May 5, 1979) is an American fiction writer, poet, and literary critic. For her speculative fiction novels she has won the annual James Tiptree, Andre Norton, and Mythopoeic Fantasy Awards. Her short fiction has appeared in Clarkesworld Magazine, the World Fantasy Award–winning anthologies Salon Fantastique and Paper Cities, along with numerous Year's Best volumes. Her critical work has appeared in the International Journal of the Humanities under the name Bethany L. Thomas as well as in numerous essay collections."
"Willard Price",1887-07-28,1983-10-14,2651887,"African Adventure|Amazon Adventure|South Sea Adventure","Willard DeMille Price (28 July 1887 – 14 October 1983) was a Canadian-born American traveller, journalist and author. Price was born to a family of devout Methodists in Peterborough, Ontario. He spent his early childhood living on a farm before his family moved to Toronto and then Cleveland, Ohio in the United States when he was four. Price attended East High School and Western Reserve University where he funded his college degree by writing advertisements for local businesses and newspapers. During this time he gained notoriety as a young Methodist leader and developed a taste for adventure on long trips during vacations. On graduating in 1909 Price confounded expectations by choosing not to enter a seminary, instead spending a year preaching as an unordained pastor. He then resolved to experience the ""workaday world"", a decision that took him to New York and then London. While there he developed a ""painfully acute social awareness"" while volunteering at a settlement house in Southwark. This inspired Price to become ""a social worker with a pen"". Returning to New York in 1911 Price won a scholarship to the School of Philanthropy at Columbia University, where he acquired a MA and Litt.D. While there he wrote a number of campaigning newspaper and magazine articles including a first-hand account of the squalid conditions aboard a transatlantic liner, a survey of Newark's slums and an investigation of child labour conditions in a Pittsburgh iron and steel plant (with Herschel V. Jones). Price also worked as publicity secretary of the Methodist Board of Foreign Missions, completed his thesis on immigration and edited the journals Survey and World Outlook. Price spent his later life as a ""foreign correspondent and roving researcher"" on behalf of newspapers, magazines, museums and societies (in particular the National Geographic Society and the American Museum of Natural History). He visited a total of 148 countries and circled the globe three times before his death. Price documented these adventures in a series of adult non-fiction books, beginning with ""Rip Tide in the Southern Seas"" (1936). His early writing career focused in particular on Japan, where he lived from 1933 to 1938 and could see first-hand the country's militarization. In 1999 Professor Laurie Barber of Waikato University (Hamilton, New Zealand) suggested that Willard Price may have spied for the United States. Indeed, Price admits to having done so in My Own Life of Adventure, one of two autobiographies he wrote in his later years. What remains unclear is whether Price was acting as a patriotic American or if he was on the payroll of military intelligence. Price's travels also proved the inspiration for his highly popular Adventure series of novels for young readers, which describe the daring exploits of globe-trotting teenage zoologists Hal and Roger Hunt. Shortly before his death, Price commented that: In 2006, the Price family sold the copyrights and related legal rights for the fourteen Adventure series titles, plus the right to use Price's name, to London-based Fleming Literary Management for an undisclosed six-figure sum."
"Agustus Montrose",1830-10-22,1899-12-31,25822996,"Lilies In December","Agustus Horatio Montrose (1830–1899) was an English novelist and playwright operating in the northeast of London in the mid to late 19th century. He is especially notable for one novel (see Lilies In December) and several plays, although he wrote 22 known pieces and there is a possibility that more were created unknown to the scholars who study him. He is considered influential to many later 19th and 20th century authors, including Joseph Conrad. Spending a life in semi-poverty with only moderate success, Montrose was popular among many citizens. Two of his plays have been banned by various Private Libraries. When asked about the abnormal parody of the name Augustus, Montrose said, ""My mother liked the name Augustus, but was absolutely an individual and she didn't want a name for me that would be common. Thus she decided upon Agustus, to be pronounced identically to Augustus but spelled without the 'u'."""
"Heinrich Böll",1917-12-21,1985-07-16,82384,"The Clown (novel)|Billiards at Half-Past Nine|Anekdote zur Senkung der Arbeitsmoral|Murke's Collected Silences|The Bread of Those Early Years (novel)","Heinrich Theodor Böll ([bœl]; 21 December 1917 – 16 July 1985) was one of Germany's foremost post-World War II writers. Böll was awarded the Georg Büchner Prize in 1967 and the Nobel Prize for Literature in 1972."
"Henri Barbusse",1873-05-17,1935-08-30,70178,"Under Fire (Henri Barbusse novel)","Henri Barbusse ([ɑ̃ʁi baʁbys]; May 17, 1873 – August 30, 1935) was a French novelist and a member of the French Communist Party. He was a lifelong friend of Albert Einstein."
"Eugene O'Neill",1888-10-16,1953-11-27,67018,"The Emperor Jones (1955 film)|Ah, Wilderness!|The Iceman Cometh|Long Day's Journey into Night|Anna Christie|Mourning Becomes Electra|Beyond the Horizon (play)|Desire Under the Elms|Strange Interlude|Dynamo (play)|The Emperor Jones","Eugene Gladstone O'Neill (October 16, 1888 – November 27, 1953) was an American playwright and Nobel laureate in Literature. His poetically titled plays were among the first to introduce into American drama techniques of realism earlier associated with Russian playwright Anton Chekhov, Norwegian playwright Henrik Ibsen, and Swedish playwright August Strindberg. The drama Long Day's Journey Into Night is often numbered on the short list of being among the finest American plays in the 20th century, alongside Tennessee Williams' A Streetcar Named Desire and Arthur Miller's Death of a Salesman. O'Neill's plays were among the first to include speeches in American vernacular and involve characters on the fringes of society. They struggle to maintain their hopes and aspirations, but ultimately slide into disillusionment and despair. Of his very few comedies, only one is well-known (Ah, Wilderness!). Nearly all of his other plays involve some degree of tragedy and personal pessimism."
